Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-25T00:00+02:00;2021-08-26T00:00+02:00;25.08.2021;1;1393
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-25T00:00+02:00;2021-08-26T00:00+02:00;25.08.2021;2;2066
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-25T00:00+02:00;2021-08-26T00:00+02:00;25.08.2021;Totalt i retning Planetariet;1393
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-25T00:00+02:00;2021-08-26T00:00+02:00;25.08.2021;Totalt i retning UNN;2066
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-25T00:00+02:00;2021-08-26T00:00+02:00;25.08.2021;Totalt;3459
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-26T00:00+02:00;2021-08-27T00:00+02:00;26.08.2021;1;2371
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-26T00:00+02:00;2021-08-27T00:00+02:00;26.08.2021;2;2389
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-26T00:00+02:00;2021-08-27T00:00+02:00;26.08.2021;Totalt i retning Planetariet;2368
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-26T00:00+02:00;2021-08-27T00:00+02:00;26.08.2021;Totalt i retning UNN;2392
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-26T00:00+02:00;2021-08-27T00:00+02:00;26.08.2021;Totalt;4760
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-27T00:00+02:00;2021-08-28T00:00+02:00;27.08.2021;1;2187
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-27T00:00+02:00;2021-08-28T00:00+02:00;27.08.2021;2;2229
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-27T00:00+02:00;2021-08-28T00:00+02:00;27.08.2021;Totalt i retning Planetariet;2186
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-27T00:00+02:00;2021-08-28T00:00+02:00;27.08.2021;Totalt i retning UNN;2230
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-27T00:00+02:00;2021-08-28T00:00+02:00;27.08.2021;Totalt;4416
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-28T00:00+02:00;2021-08-29T00:00+02:00;28.08.2021;1;557
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-28T00:00+02:00;2021-08-29T00:00+02:00;28.08.2021;2;517
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-28T00:00+02:00;2021-08-29T00:00+02:00;28.08.2021;Totalt i retning Planetariet;557
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-28T00:00+02:00;2021-08-29T00:00+02:00;28.08.2021;Totalt i retning UNN;517
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-28T00:00+02:00;2021-08-29T00:00+02:00;28.08.2021;Totalt;1074
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-29T00:00+02:00;2021-08-30T00:00+02:00;29.08.2021;1;535
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-29T00:00+02:00;2021-08-30T00:00+02:00;29.08.2021;2;536
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-29T00:00+02:00;2021-08-30T00:00+02:00;29.08.2021;Totalt i retning Planetariet;535
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-29T00:00+02:00;2021-08-30T00:00+02:00;29.08.2021;Totalt i retning UNN;536
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-29T00:00+02:00;2021-08-30T00:00+02:00;29.08.2021;Totalt;1071
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-30T00:00+02:00;2021-08-31T00:00+02:00;30.08.2021;1;2481
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-30T00:00+02:00;2021-08-31T00:00+02:00;30.08.2021;2;2386
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-30T00:00+02:00;2021-08-31T00:00+02:00;30.08.2021;Totalt i retning Planetariet;2481
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-30T00:00+02:00;2021-08-31T00:00+02:00;30.08.2021;Totalt i retning UNN;2386
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-30T00:00+02:00;2021-08-31T00:00+02:00;30.08.2021;Totalt;4867
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-31T00:00+02:00;2021-09-01T00:00+02:00;31.08.2021;1;2467
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-31T00:00+02:00;2021-09-01T00:00+02:00;31.08.2021;2;2526
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-31T00:00+02:00;2021-09-01T00:00+02:00;31.08.2021;Totalt i retning Planetariet;2466
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-31T00:00+02:00;2021-09-01T00:00+02:00;31.08.2021;Totalt i retning UNN;2527
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-08-31T00:00+02:00;2021-09-01T00:00+02:00;31.08.2021;Totalt;4993
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-09-02T00:00+02:00;01.09.2021;1;2557
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-09-02T00:00+02:00;01.09.2021;2;2587
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-09-02T00:00+02:00;01.09.2021;Totalt i retning Planetariet;2557
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-09-02T00:00+02:00;01.09.2021;Totalt i retning UNN;2587
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-01T00:00+02:00;2021-09-02T00:00+02:00;01.09.2021;Totalt;5144
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-02T00:00+02:00;2021-09-03T00:00+02:00;02.09.2021;1;2394
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-02T00:00+02:00;2021-09-03T00:00+02:00;02.09.2021;2;2396
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-02T00:00+02:00;2021-09-03T00:00+02:00;02.09.2021;Totalt i retning Planetariet;2394
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-02T00:00+02:00;2021-09-03T00:00+02:00;02.09.2021;Totalt i retning UNN;2396
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-02T00:00+02:00;2021-09-03T00:00+02:00;02.09.2021;Totalt;4790
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-03T00:00+02:00;2021-09-04T00:00+02:00;03.09.2021;1;2239
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-03T00:00+02:00;2021-09-04T00:00+02:00;03.09.2021;2;2244
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-03T00:00+02:00;2021-09-04T00:00+02:00;03.09.2021;Totalt i retning Planetariet;2239
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-03T00:00+02:00;2021-09-04T00:00+02:00;03.09.2021;Totalt i retning UNN;2244
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-03T00:00+02:00;2021-09-04T00:00+02:00;03.09.2021;Totalt;4483
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-04T00:00+02:00;2021-09-05T00:00+02:00;04.09.2021;1;602
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-04T00:00+02:00;2021-09-05T00:00+02:00;04.09.2021;2;591
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-04T00:00+02:00;2021-09-05T00:00+02:00;04.09.2021;Totalt i retning Planetariet;602
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-04T00:00+02:00;2021-09-05T00:00+02:00;04.09.2021;Totalt i retning UNN;591
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-04T00:00+02:00;2021-09-05T00:00+02:00;04.09.2021;Totalt;1193
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-05T00:00+02:00;2021-09-06T00:00+02:00;05.09.2021;1;591
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-05T00:00+02:00;2021-09-06T00:00+02:00;05.09.2021;2;569
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-05T00:00+02:00;2021-09-06T00:00+02:00;05.09.2021;Totalt i retning Planetariet;591
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-05T00:00+02:00;2021-09-06T00:00+02:00;05.09.2021;Totalt i retning UNN;569
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-05T00:00+02:00;2021-09-06T00:00+02:00;05.09.2021;Totalt;1160
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;1;2350
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;2;2443
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt i retning Planetariet;2348
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt i retning UNN;2445
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt;4793
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;1;2426
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;2;2520
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt i retning Planetariet;2419
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt i retning UNN;2527
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt;4946
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;1;2428
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;2;2480
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;Totalt i retning Planetariet;2427
