Navn;Vegreferanse;Fra;Til;Dato;Trafikkmengde
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;375
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;391
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;372
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;394
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;766
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1454
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1611
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1454
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1611
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;3065
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1618
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1810
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1618
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1810
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;3428
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1657
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1916
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1657
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1916
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;3573
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;1468
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;1652
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;1467
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;1653
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;3120
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;1414
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;1548
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;1414
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;1548
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;2962
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;565
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;573
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;565
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;573
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;1138
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;08.01.2023;500
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;08.01.2023;530
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;08.01.2023;500
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;08.01.2023;530
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-08T00:00+01:00;2023-01-09T00:00+01:00;08.01.2023;1030
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;09.01.2023;1642
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;09.01.2023;1797
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;09.01.2023;1643
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;09.01.2023;1796
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-09T00:00+01:00;2023-01-10T00:00+01:00;09.01.2023;3439
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;1707
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;1860
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;1707
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;1860
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-10T00:00+01:00;2023-01-11T00:00+01:00;10.01.2023;3567
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1716
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1805
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1716
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;1805
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-11T00:00+01:00;2023-01-12T00:00+01:00;11.01.2023;3521
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1759
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1961
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1759
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;1961
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-12T00:00+01:00;2023-01-13T00:00+01:00;12.01.2023;3720
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1708
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1832
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1710
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;1830
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-13T00:00+01:00;2023-01-14T00:00+01:00;13.01.2023;3540
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;512
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;547
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;512
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;547
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-14T00:00+01:00;2023-01-15T00:00+01:00;14.01.2023;1059
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;532
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;517
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;532
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-15T00:00+01:00;2023-01-16T00:00+01:00;15.01.2023;517
